run_name,tcnr,seed,cvr_rmse,cvr_mae,cvr_bias,cvr_pcc,delay_rmse,delay_mae,delay_bias,delay_pcc
synthetic_glm_tcnr_0.5_seed_42,0.5,42,0.3283264833854708,0.23626455872374655,0.08616549989258414,0.773919738136565,2.640717597027921,2.0501502635875615,0.5457408037220915,0.5051877658094021
synthetic_glm_tcnr_0.5_seed_42,0.5,42,0.3283264833854708,0.23626455872374655,0.08616549989258414,0.773919738136565,2.640717597027921,2.0501502635875615,0.5457408037220915,0.5051877658094021
synthetic_glm_tcnr_0.5_seed_42,0.5,42,0.3283264833854708,0.23626455872374655,0.08616549989258414,0.773919738136565,2.640717597027921,2.0501502635875615,0.5457408037220915,0.5051877658094021
synthetic_glm_tcnr_0.5_seed_42,0.5,42,0.3283264833854708,0.23626455872374655,0.08616549989258414,0.773919738136565,2.640717597027921,2.0501502635875615,0.5457408037220915,0.5051877658094021
synthetic_glm_tcnr_0.5_seed_43,0.5,43,0.2872269123327603,0.20501341654303434,0.031613355776802424,0.8255532452123192,2.6736270256638863,2.019113771226079,-0.08497424428114744,0.2721466435272402
synthetic_glm_tcnr_0.5_seed_43,0.5,43,0.2872269123327603,0.20501341654303434,0.031613355776802424,0.8255532452123192,2.6736270256638863,2.019113771226079,-0.08497424428114744,0.2721466435272402
synthetic_glm_tcnr_0.5_seed_43,0.5,43,0.2872269123327603,0.20501341654303434,0.031613355776802424,0.8255532452123192,2.6736270256638863,2.019113771226079,-0.08497424428114744,0.2721466435272402
synthetic_glm_tcnr_0.5_seed_43,0.5,43,0.2872269123327603,0.20501341654303434,0.031613355776802424,0.8255532452123192,2.6736270256638863,2.019113771226079,-0.08497424428114744,0.2721466435272402
synthetic_glm_tcnr_0.5_seed_44,0.5,44,0.3166354667732762,0.24477578360475077,0.0051172216682936625,0.7132075865238462,2.681291819308733,2.1220070158253956,-0.08896586188119941,0.3482085025141073
synthetic_glm_tcnr_0.5_seed_44,0.5,44,0.3166354667732762,0.24477578360475077,0.0051172216682936625,0.7132075865238462,2.681291819308733,2.1220070158253956,-0.08896586188119941,0.3482085025141073
